pos	key_resp.corr	key_resp.rt		SeqRt	RandRt			
-50	1	0.8673985		0.8673985	0.7804364		Mean of Seq RT	0.384613408
150	1	0.937962		0.937962	0.561831		Mean of RandRT	0.662271254
50	1	0.6374		0.6374	0.5576866		Diff between the RTs	0.277657846
-150	1	0.6615463		0.6615463	0.5434707			
-50	1	0.3308379		0.3308379	0.5425098			
150	1	0.3095179		0.3095179	0.9150397			
50	1	0.2881913		0.2881913	0.5501074			
-150	1	0.2454415		0.2454415	0.4946624			
-50	0	0.5258354		0.5258354	0.9084688			
150	1	0.742407		0.742407	0.709255			
50	1	0.509565		0.509565	0.7059719			
-150	1	0.3388748		0.3388748	0.5571856			
-50	1	0.2666732		0.2666732	0.7243364			
150	1	0.3145099		0.3145099	0.7828385			
50	1	0.2872956		0.2872956	0.55367			
-150	1	0.2246747		0.2246747	0.7700416			
-50	1	0.2687044		0.2687044	1.3083925			
150	1	0.342262		0.342262	0.5093787			
50	1	0.2794091		0.2794091	0.6885767			
-150	1	0.0753415		0.0753415	1.1581236			
-50	1	0.3026273		0.3026273	0.6681305			
150	1	0.308924		0.308924	0.6877385			
50	1	0.2780564		0.2780564	0.467291			
-150	1	0.1012118		0.1012118	0.3574847			
-50	1	0.2902338		0.2902338	0.5274342			
150	1	0.3022295		0.3022295	0.6501228			
50	1	0.5098952		0.5098952	0.5471235			
-150	1	0.3157518		0.3157518	0.6966275			
-50	1	0.2606958		0.2606958	0.4746151			
150	1	0.3119059		0.3119059	0.563365			
50	1	0.36528		0.36528	0.4641316			
-150	1	0.3859601		0.3859601	0.6104517			
-50	1	0.3388193		0.3388193	1.1885934			
150	1	0.4638795		0.4638795	0.8168143			
50	1	0.4322579		0.4322579	0.4246019			
-150	1	0.3457486		0.3457486	1.226721			
-50	1	0.3601891		0.3601891	0.5631017			
150	1	0.4882537		0.4882537	0.4992182			
50	1	0.3986025		0.3986025	0.6914922			
-150	1	0.6416231		0.6416231	0.4967656			
-50	1	0.3001389		0.3001389	0.4812014			
150	1	0.2964945		0.2964945	0.6120562			
50	1	0.2940588		0.2940588	0.593187			
-150	1	0.3122065		0.3122065	0.4890994			
-50	1	0.5768163		0.5768163	0.9086924			
150	1	0.4012585		0.4012585	0.5450363			
50	1	0.4054396		0.4054396	0.7499942			
-150	1	0.2190372		0.2190372	0.4659456			
50	1	0.7804364						
-150	1	0.561831						
-150	1	0.5576866						
150	1	0.5434707						
150	1	0.5425098						
-50	1	0.9150397						
50	1	0.5501074						
-50	1	0.4946624						
50	1	0.9084688						
-150	1	0.709255						
-50	1	0.7059719						
-150	1	0.5571856						
50	1	0.7243364						
50	1	0.7828385						
150	1	0.55367						
150	1	0.7700416						
-50	1	1.3083925						
150	1	0.5093787						
50	1	0.6885767						
-50	1	1.1581236						
-50	1	0.6681305						
50	1	0.6877385						
-150	1	0.467291						
-150	1	0.3574847						
50	1	0.5274342						
50	1	0.6501228						
-50	1	0.5471235						
50	1	0.6966275						
150	1	0.4746151						
50	1	0.563365						
-150	1	0.4641316						
-150	1	0.6104517						
150	1	1.1885934						
-150	1	0.8168143						
-150	1	0.4246019						
-50	1	1.226721						
-50	1	0.5631017						
-150	1	0.4992182						
-50	1	0.6914922						
150	1	0.4967656						
150	1	0.4812014						
-50	1	0.6120562						
150	1	0.593187						
-150	1	0.4890994						
50	1	0.9086924						
150	1	0.5450363						
-50	1	0.7499942						
150	1	0.4659456						
